#dist(Å)   E_tot(eV)   E_ads(kcal/mol)
1.50   -347.543915   73.302781
1.60   -349.870708   19.646936
1.70   -351.355889   -14.601334
1.80   -352.236598   -34.910489
1.90   -352.704659   -45.703965
2.00   -352.901424   -50.241371
2.10   -352.916917   -50.598637
2.20   -352.819662   -48.355954
2.30   -352.657849   -44.624530
2.40   -352.459386   -40.047979
2.50   -352.244164   -35.084961
2.60   -352.028583   -30.113664
2.70   -351.823526   -25.385054
2.80   -351.634417   -21.024202
2.90   -351.462660   -17.063471
3.00   -351.312895   -13.609893
3.10   -351.181620   -10.582685
3.20   -351.066150   -7.919968
3.30   -350.963920   -5.562527
3.40   -350.873236   -3.471361
3.50   -350.792631   -1.612617
3.60   -350.721664   0.023898
3.70   -350.659088   1.466896
3.80   -350.604166   2.733403
3.90   -350.556226   3.838890
4.00   -350.514897   4.791937
4.10   -350.479897   5.599037
4.20   -350.450633   6.273869
4.30   -350.426339   6.834095
4.40   -350.406022   7.302600
4.50   -350.388771   7.700394
4.60   -350.373771   8.046311
4.70   -350.360264   8.357772
4.80   -350.347863   8.643734
4.90   -350.336855   8.897592
5.00   -350.326493   9.136530
5.10   -350.316702   9.362318
5.20   -350.307936   9.564461
5.30   -350.299658   9.755354
5.40   -350.291739   9.937967
5.50   -350.285043   10.092359
5.60   -350.278742   10.237682
5.70   -350.274065   10.345531
5.80   -350.272308   10.386042
5.90   -350.271051   10.415019
6.00   -350.270914   10.418195
