#dist(Å)   E_tot(eV)   E_ads(kcal/mol)
1.50   -347.156903   82.227277
1.60   -349.540728   27.256276
1.70   -351.034291   -7.185289
1.80   -351.928423   -27.803962
1.90   -352.413432   -38.988282
2.00   -352.627568   -43.926263
2.10   -352.666512   -44.824298
2.20   -352.599400   -43.276691
2.30   -352.469017   -40.270062
2.40   -352.305070   -36.489447
2.50   -352.126173   -32.364084
2.60   -351.943781   -28.158123
2.70   -351.765308   -24.042531
2.80   -351.595524   -20.127316
2.90   -351.435904   -16.446493
3.00   -351.293015   -13.151458
3.10   -351.165901   -10.220204
3.20   -351.053501   -7.628264
3.30   -350.954082   -5.335677
3.40   -350.865707   -3.297742
3.50   -350.786718   -1.476261
3.60   -350.717238   0.125943
3.70   -350.656351   1.530016
4.00   -350.517945   4.721655
4.10   -350.484318   5.497095
4.20   -350.456283   6.143581
4.30   -350.432781   6.685521
4.40   -350.412954   7.142734
4.50   -350.395926   7.535407
4.60   -350.380973   7.880229
4.70   -350.367481   8.191356
4.80   -350.354561   8.489279
4.90   -350.342242   8.773364
5.00   -350.330376   9.046994
5.10   -350.318853   9.312704
5.20   -350.308420   9.553297
5.30   -350.298246   9.787898
5.40   -350.287234   10.041856
5.50   -350.276178   10.296797
5.60   -350.305287   9.625543
5.70   -350.259390   10.683919
5.80   -350.256513   10.750276
5.90   -350.255261   10.779146
6.00   -350.255157   10.781539
