# dist(Å)   E_tot(eV)   E_ads(kcal/mol)   p_mean(Å)
   0.00   -86.504652   -47.936     2.087
   0.10   -86.555665   -49.112     2.089
   0.20   -86.633518   -50.908     2.094
   0.30   -86.731962   -53.178     2.102
   0.40   -86.840240   -55.675     2.114
   0.50   -86.946773   -58.131     2.130
   0.60   -87.040958   -60.303     2.150
   0.70   -87.112458   -61.952     2.175
   0.80   -87.154219   -62.915     2.203
   0.90   -87.160705   -63.065     2.236
   1.00   -87.128345   -62.319     2.276
   1.10   -87.054093   -60.606     2.319
   1.20   -86.940569   -57.988     2.367
   1.40   -86.705748   -50.424     2.620
   1.50   -86.908139   -45.941      3.272
   1.70   -85.999429   -36.202      2.660
   1.80   -85.783169   -31.185    2.728
   1.90   -85.567486   -26.191     2.798
   2.00   -85.355965   -21.447     2.869
   2.10   -85.152328   -16.751     2.942
   2.20   -84.959504   -12.304     3.017
   2.30   -84.779364   -8.150     3.093
   2.40   -84.612623   -4.305     3.170
   2.50   -84.459113   -0.765     3.248
   2.60   -84.318513   +2.478     3.328
   2.70   -84.190851   +5.422     3.408
   2.80   -84.076415   +8.060     3.490
   2.90   -83.974669   +10.407     3.572
   3.00   -83.886097   +12.449     3.655
   3.10   -83.809949   +14.205     3.739
   3.20   -83.743307   +15.742     3.824
   3.30   -83.684773   +17.092     3.909
   3.40   -83.633638   +18.271     3.995
   3.50   -83.588234   +19.318     4.082
   3.60   -83.547563   +20.256     4.169
   3.70   -83.512776   +21.058     4.256
   3.80   -83.484283   +21.715     4.344
   3.90   -83.461454   +22.242     4.432
   4.00   -83.443154   +22.664     4.521
   4.10   -83.429097   +22.988     4.610
   4.20   -83.417938   +23.245     4.700
   4.30   -83.408912   +23.453     4.790
   4.40   -83.401518   +23.624     4.881
   4.50   -83.394938   +23.776     4.971
   4.60   -83.389040   +23.912     5.062
   4.70   -83.383279   +24.045     5.154
   4.80   -83.376732   +24.195     5.245
   4.90   -83.369020   +24.373     5.337
   5.00   -83.360431   +24.571     5.429
   5.10   -83.351989   +24.766     5.522
   5.20   -83.346013   +24.904     5.615
   5.30   -83.345854   +24.908     5.708
   5.40   -83.351814   +24.770     5.801
   5.50   -83.369850   +24.354     5.895
   5.60   -83.409863   +23.431     5.989
   5.70   -83.439818   +22.741     6.082
   5.80   -83.445158   +22.618     6.176
   5.90   -83.445146   +22.618     6.270
   6.00   -83.445146   +22.618     6.364
