# dist(Å)   E_tot(eV)   E_ads(kcal/mol)   p_mean(Å)
   0.00   -86.153346   -39.835     2.091
   0.10   -86.224478   -41.475     2.092
   0.20   -86.315706   -43.579     2.097
   0.30   -86.421929   -46.028     2.105
   0.40   -86.535612   -48.650     2.117
   0.50   -86.647926   -51.240     2.134
   0.60   -86.749741   -53.588     2.154
   0.70   -86.832355   -55.493     2.178
   0.80   -86.888354   -56.784     2.207
   0.90   -86.911122   -57.309     2.243
   1.00   -86.898766   -57.024     2.281
   1.10   -86.846859   -55.827     2.323
   1.20   -86.758320   -53.786     2.370
   1.40   -86.576732   -47.492     2.621
   1.50   -86.432818   -43.570     2.700
   1.70   -85.927216   -34.579      2.663
   1.80   -85.724645   -29.838      2.730
   1.90   -85.521680   -23.379     2.799
   2.00   -85.321331   -20.648     2.870
   2.10   -85.126365   -16.152     2.942
   2.20   -84.939572   -11.844     3.017
   2.30   -84.763382   -7.781     3.093
   2.40   -84.599428   -4.000     3.170
   2.50   -84.448382   -0.517     3.248
   2.60   -84.310542   +2.661     3.328
   2.70   -84.186330   +5.526     3.408
   2.80   -84.074582   +8.103     3.490
   2.90   -83.973709   +10.429     3.572
   3.00   -83.883652   +12.506     3.655
   3.10   -83.804866   +14.323     3.739
   3.20   -83.736539   +15.898     3.824
   3.30   -83.677905   +17.250     3.909
   3.40   -83.628059   +18.400     3.995
   3.50   -83.585299   +19.386     4.081
   3.60   -83.547978   +20.246     4.168
   3.70   -83.515760   +20.989     4.256
   3.80   -83.488704   +21.613     4.344
   3.90   -83.465980   +22.137     4.432
   4.00   -83.447476   +22.564     4.521
   4.10   -83.432703   +22.905     4.610
   4.20   -83.420397   +23.189     4.700
   4.30   -83.410124   +23.425     4.790
   4.40   -83.401126   +23.633     4.880
   4.50   -83.392447   +23.833     4.971
   4.60   -83.384069   +24.026     5.062
   4.70   -83.377046   +24.188     5.154
   4.80   -83.372041   +24.304     5.245
   4.90   -83.368170   +24.393     5.337
   5.00   -83.362696   +24.519     5.429
   5.10   -83.355199   +24.692     5.522
   5.20   -83.346920   +24.883     5.615
   5.30   -83.342602   +24.983     5.708
   5.40   -83.350550   +24.799     5.801
   5.50   -83.368368   +24.388     5.895
   5.60   -83.407496   +23.486     5.988
   5.70   -83.437847   +22.786     6.082
   5.80   -83.448628   +22.538     6.176
   5.90   -83.448665   +22.537     6.270
   6.00   -83.448665   +22.537     6.364
