# dist(Å)   E_tot(eV)   E_ads(kcal/mol)   p_mean(Å)
   0.00   -79.326786471   -91.867    1.8534
   0.10   -79.505037107   -95.977    1.8532
   0.20   -79.597228211   -98.103    1.8555
   0.30   -79.647370383   -99.259    1.8608
   0.40   -79.678994323   -99.989    1.8687
   0.50   -79.713577651   -100.786    1.8861
   0.60   -79.721417538   -100.967    1.8935
   0.70   -79.724914982   -101.048    1.9116
   0.80   -79.701477596   -100.507    1.9348
   0.90   -79.638224861   -99.049    1.9642
   1.00   -79.524749950   -96.432    1.9991
   1.10   -79.354014844   -92.495    2.0408
   1.20   -79.125701651   -87.230    2.0889
   1.30   -78.843950416   -80.733    2.1428
   1.40   -78.516447282   -73.180    2.2015
   1.50   -78.152526314   -64.788    2.2641
   1.60   -77.761219127   -55.765    2.3305
   1.70   -77.351917590   -46.326    2.4001
   1.80   -76.933049993   -36.667    2.4726
   1.90   -76.512169786   -26.962    2.5478
   2.00   -76.095605906   -17.356    2.6251
   2.10   -75.688828022   -7.975    2.7044
   2.20   -75.298732570   +1.020    2.7856
   2.30   -74.933063679   +9.452    2.8688
   2.40   -74.599127680   +17.153    2.9533
   2.50   -74.301194133   +24.023    3.0388
   2.60   -74.038576440   +30.079    3.1247
   2.70   -73.807595150   +35.406    3.2115
   2.80   -73.604279099   +40.094    3.2985
   2.90   -73.425557782   +44.216    3.3859
   3.00   -73.268378273   +47.840    3.4737
   3.10   -73.130190357   +51.027    3.5618
   3.20   -73.008986182   +53.822    3.6502
   3.30   -72.903899546   +56.245    3.7391
   3.40   -72.813938968   +58.320    3.8284
   3.50   -72.737116094   +60.091    3.9181
   3.60   -72.671185139   +61.611    4.0084
   3.70   -72.614059040   +62.929    4.0985
   3.80   -72.563659615   +64.091    4.1897
   3.90   -72.515599495   +65.199    4.2809
   4.00   -72.472664444   +66.189    4.3723
   4.10   -72.436163205   +67.031    4.4640
   4.20   -72.403382997   +67.787    4.5558
   4.30   -72.378463416   +68.362    4.6474
   4.40   -72.364086394   +68.693    4.7394
   4.50   -72.356340683   +68.872    4.8322
   4.60   -72.352514334   +68.960    4.9254
   4.70   -72.350859248   +68.998    5.0189
   4.80   -72.350077674   +69.016    5.1127
   4.90   -72.349254682   +69.035    5.2068
   5.00   -72.348542383   +69.052    5.3016
   5.10   -72.348625623   +69.050    5.3961
   5.20   -72.348065239   +69.063    5.4907
   5.30   -72.341995535   +69.203    5.5855
   5.40   -72.335487859   +69.353    5.6805
   5.50   -72.333361957   +69.402    5.7756
   5.60   -72.324945246   +69.596    5.8709
   5.70   -72.319727847   +69.716    5.9664
   5.80   -72.319456440   +69.722    6.0620
   5.90   -72.319456368   +69.722    6.1578
   6.00   -72.319455451   +69.722    6.2536
