# dist(Å)   E_tot(eV)   E_ads(kcal/mol)   p_mean(Å)
   0.00   -80.732159256   -124.275    1.8270
   0.10   -80.932118130   -128.886    1.8256
   0.20   -81.020928810   -130.934    1.8272
   0.30   -81.054526253   -131.708    1.8312
   0.40   -81.062419997   -131.890    1.8378
   0.50   -81.055934712   -131.741    1.8477
   0.60   -81.033457725   -131.223    1.8613
   0.70   -80.984503943   -130.094    1.8805
   0.80   -80.894774708   -128.025    1.9053
   0.90   -80.750746551   -124.703    1.9364
   1.00   -80.540974374   -119.866    1.9746
   1.10   -80.261993824   -113.433    2.0201
   1.20   -79.918784500   -105.518    2.0718
   1.30   -79.520901116   -96.343    2.1294
   1.40   -79.080962512   -86.198    2.1919
   1.50   -78.612619537   -75.398    2.2584
   1.60   -78.129058166   -64.247    2.3281
   1.70   -77.641307502   -53.000    2.4003
   1.80   -77.157433232   -41.841    2.4747
   1.90   -76.683203745   -30.906    2.5511
   2.00   -76.224020952   -20.317    2.6293
   2.10   -75.786191243   -10.221    2.7093
   2.20   -75.375849880   -0.758    2.7907
   2.30   -74.998253588   +7.949    2.8738
   2.40   -74.656049109   +15.840    2.9581
   2.50   -74.350265712   +22.892    3.0432
   2.60   -74.080118789   +29.121    3.1287
   2.70   -73.843651243   +34.574    3.2147
   2.80   -73.637663266   +39.324    3.3010
   2.90   -73.458243675   +43.462    3.3878
   3.00   -73.302387351   +47.056    3.4750
   3.10   -73.168147009   +50.151    3.5627
   3.20   -73.053237322   +52.801    3.6509
   3.30   -72.955132133   +55.064    3.7396
   3.40   -72.871876706   +56.983    3.8288
   3.50   -72.801289432   +58.611    3.9183
   3.60   -72.741125052   +59.999    4.0084
   3.70   -72.690701289   +61.161    4.0985
   3.80   -72.647674870   +62.154    4.1890
   3.90   -72.610681179   +63.007    4.2806
   4.00   -72.579239234   +63.732    4.3721
   4.10   -72.551635493   +64.368    4.4638
   4.20   -72.528432376   +64.903    4.5557
   4.30   -72.512216910   +65.277    4.6474
   4.40   -72.499987496   +65.559    4.7400
   4.50   -72.488337793   +65.828    4.8330
   4.60   -72.476776873   +66.094    4.9262
   4.70   -72.465760475   +66.349    5.0197
   4.80   -72.455452775   +66.586    5.1135
   4.90   -72.445700395   +66.811    5.2075
   5.00   -72.436248173   +67.029    5.3017
   5.10   -72.426583087   +67.252    5.3961
   5.20   -72.417081400   +67.471    5.4907
   5.30   -72.409411967   +67.648    5.5855
   5.40   -72.404990562   +67.750    5.6805
   5.50   -72.406576441   +67.713    5.7761
   5.60   -72.422652444   +67.343    5.8715
   5.70   -72.436022169   +67.034    5.9664
   5.80   -72.436822072   +67.016    6.0620
   5.90   -72.436821791   +67.016    6.1578
   6.00   -72.436821282   +67.016    6.2536
