# dist(Å)   E_tot(eV)   E_ads(kcal/mol)   p_mean(Å)
   0.50   -191.491367126   -60.895    3.4170
   0.60   -191.752630715   -66.920    3.4313
   0.70   -191.994535045   -72.499    3.4477
   0.80   -192.209369135   -77.453    3.4668
   0.90   -192.388914133   -81.593    3.4886
   1.00   -192.514766354   -84.495    3.5129
   1.10   -192.581150328   -86.026    3.5399
   1.20   -192.593149820   -86.303    3.5695
   1.30   -192.547205823   -85.243    3.6022
   1.40   -192.435416013   -82.665    3.6387
   1.50   -192.256522461   -78.540    3.6789
   1.60   -192.017643339   -73.031    3.7227
   1.70   -191.735183896   -66.518    3.7694
   1.80   -191.425111534   -59.368    3.8186
   1.90   -191.101794467   -51.912    3.8700
   2.00   -190.776181756   -44.403    3.9238
   2.10   -190.457047513   -37.044    3.9795
   2.20   -190.149818953   -29.959    4.0373
   2.30   -189.856923212   -23.205    4.0970
   2.40   -189.580924339   -16.841    4.1584
   2.50   -189.324026342   -10.917    4.2213
   2.60   -189.086064161   -5.429    4.2855
   2.70   -188.869038462   -0.425    4.3510
   2.80   -188.676177361   +4.023    4.4178
   2.90   -188.508436613   +7.891    4.4856
   3.00   -188.365113324   +11.196    4.5546
   3.10   -188.244685503   +13.973    4.6246
   3.20   -188.144426878   +16.285    4.6955
   3.30   -188.059870494   +18.235    4.7672
   3.40   -187.989332308   +19.861    4.8401
   3.50   -187.930601941   +21.216    4.9139
   3.60   -187.882004229   +22.336    4.9886
   3.70   -187.842915504   +23.238    5.0641
   3.80   -187.813474388   +23.917    5.1403
   3.90   -187.792857490   +24.392    5.2170
   4.00   -187.779426646   +24.702    5.2944
   4.10   -187.770934468   +24.898    5.3725
   4.20   -187.764552091   +25.045    5.4513
   4.30   -187.760768768   +25.132    5.5308
   4.40   -187.760528429   +25.138    5.6112
   4.50   -187.764415485   +25.048    5.6924
   4.60   -187.774917115   +24.806    5.7740
   4.70   -187.785386681   +24.564    5.8553
   4.80   -187.791124451   +24.432    5.9372
   4.90   -187.798830920   +24.254    6.0198
   5.00   -187.806355413   +24.081    6.1031
   5.10   -187.810033746   +23.996    6.1869
   5.20   -187.810171569   +23.993    6.2711
   5.30   -187.808909102   +24.022    6.3557
   5.40   -187.808444872   +24.033    6.4410
   5.50   -187.809006553   +24.020    6.5260
   5.60   -187.824925884   +23.653    6.6122
   5.70   -187.878681997   +22.413    6.6980
   5.80   -187.909730872   +21.697    6.7839
   5.90   -187.909830009   +21.695    6.8706
   6.00   -187.909830186   +21.695    6.9577
