# dist(Å)   E_tot(eV)   E_ads(kcal/mol)   p_mean(Å)
   0.50   -191.871428535   -69.660    3.4157
   0.60   -192.112822717   -75.226    3.4299
   0.70   -192.334215915   -80.332    3.4463
   0.80   -192.529111412   -84.826    3.4654
   0.90   -192.688047976   -88.491    3.4874
   1.00   -192.800842554   -91.092    3.5121
   1.10   -192.856221982   -92.369    3.5385
   1.20   -192.859188683   -92.437    3.5665
   1.30   -192.812678993   -91.365    3.6001
   1.40   -192.688596437   -88.504    3.6378
   1.50   -192.497599882   -84.099    3.6781
   1.60   -192.248401648   -78.353    3.7218
   1.70   -191.954397751   -71.573    3.7685
   1.80   -191.629654626   -64.084    3.8178
   1.90   -191.287030804   -56.183    3.8693
   2.00   -190.937090208   -48.114    3.9230
   2.10   -190.588789260   -40.082    3.9787
   2.20   -190.250636630   -32.284    4.0364
   2.30   -189.930332763   -24.898    4.0962
   2.40   -189.633289859   -18.048    4.1576
   2.50   -189.361697860   -11.785    4.2205
   2.60   -189.115412873   -6.106    4.2848
   2.70   -188.895132988   -1.026    4.3504
   2.80   -188.701540265   +3.438    4.4171
   2.90   -188.533663035   +7.309    4.4851
   3.00   -188.389089176   +10.643    4.5541
   3.10   -188.266081585   +13.480    4.6243
   3.20   -188.163746795   +15.839    4.6953
   3.30   -188.079593167   +17.780    4.7673
   3.40   -188.010931313   +19.363    4.8401
   3.50   -187.955766791   +20.635    4.9139
   3.60   -187.911460891   +21.657    4.9885
   3.70   -187.874864088   +22.501    5.0639
   3.80   -187.843595727   +23.222    5.1401
   3.90   -187.819999057   +23.766    5.2168
   4.00   -187.806319112   +24.082    5.2943
   4.10   -187.798058660   +24.272    5.3724
   4.20   -187.789233747   +24.476    5.4513
   4.30   -187.781744370   +24.648    5.5307
   4.40   -187.776840694   +24.762    5.6108
   4.50   -187.776719490   +24.764    5.6917
   4.60   -187.783677698   +24.604    5.7731
   4.70   -187.793611598   +24.375    5.8550
   4.80   -187.808484415   +24.032    5.9375
   4.90   -187.822784079   +23.702    6.0201
   5.00   -187.826440982   +23.618    6.1030
   5.10   -187.822677421   +23.705    6.1868
   5.20   -187.818559366   +23.799    6.2712
   5.30   -187.813391569   +23.919    6.3558
   5.40   -187.809472029   +24.009    6.4409
   5.50   -187.810500483   +23.985    6.5262
   5.60   -187.818103812   +23.810    6.6129
   5.70   -187.880655506   +22.368    6.6983
   5.80   -187.916822369   +21.534    6.7839
   5.90   -187.917130341   +21.526    6.8707
   6.00   -187.917130723   +21.526    6.9578
