# dist_A   E_UMA_adslab_eV   Eads_kcal_mol
# Eads = (E_UMA - (-331.9816186249874) - (-17.713) + (0.235)) * 23.06
   1.600     -348.3859339723       35.5973680906
   1.800     -351.0581523465      -26.0239876189
   1.900     -351.61302208        -38.81928367 
   2.000     -351.8607684647      -44.5323153048
   2.100     -351.90838805        -45.6304229408
   2.200     -351.8332050998      -43.8967041092
   2.400     -351.4864556715      -35.9006622935
   2.600     -351.0431991965      -25.6791679791
   2.800     -350.6068300858      -15.6164962874
   3.000     -350.2307866782       -6.9449353081
   3.200     -349.9294005287        0.0050292994
   3.400     -349.6924307835        5.4695516251
   3.600     -349.5088834736        9.7021525905
   3.800     -349.3722247749       12.8535021823
   4.000     -349.2755204826       15.0835031630
   4.200     -349.2098008589       16.5989976858
   4.400     -349.1652418639       17.6265281114
   4.700     -349.1256603784       18.5392771655
   5.000     -349.0960171184       19.2228507430
   5.500     -349.0734076387       19.7442253436
   6.000     -349.0683731530       19.8603205838
