# dist_A   E_UMA_adslab_eV   Eads_kcal_mol
# Eads = (E_UMA - (-82.99535688284168) - (-3.477) + (-2.239)) * 23.06
   0.200      -86.0988406003      -43.0180545251
   0.500      -86.5059674570      -52.4063998401
   0.700      -86.7072706737      -57.0484520170
   0.800      -86.7560681457      -58.1737217215
   0.900      -86.7636112653      -58.3476660589
   1.000      -86.7297263820      -57.5662806512
   1.100      -86.6549841475      -55.8427247226
   1.200      -86.5446309530      -53.2979800584
   1.400      -86.2400804357      -46.2750451280
   1.600      -85.8651000022      -37.6279963329
   1.800      -85.4630510896      -28.3567484070
   2.000      -85.0635322590      -19.1438441738
   2.200      -84.6894091175      -10.5165645313
   2.400      -84.3601294486       -2.9233753674
   2.600      -84.0829520534        3.4683353662
   2.800      -83.8569269345        8.6804746092
   3.000      -83.6738807895       12.9015187130
   3.300      -83.4775440959       17.4290428673
   3.600      -83.3531836245       20.2967953369
   3.900      -83.2756530071       22.0846513751
   4.200      -83.2328552879       23.0715667786
   4.500      -83.2062142248       23.6859096937
   5.000      -83.1793319834       24.3058141804
   5.500      -83.2063581176       23.6825915273
   6.000      -83.2900918562       21.7516915154
