# d_A   Eads_kcal_mol
0.000   -122.8948671
0.100   -125.3497218
0.200   -126.9730292
0.300   -128.1558846
0.400   -128.8889223
0.500   -128.9426121
0.600   -128.0234111
0.800   -122.3900451
1.000   -111.2937793
1.200    -95.48113653
1.400    -76.42585108
1.600    -56.13402055
1.800    -37.99653988
2.000    -24.44567660
2.200    -11.90221076
2.400     -6.261160952
2.600     -2.843076026
2.800     -0.8156399595
3.000     -1.122664661
3.500      0.9592831546
4.000      2.076080602
4.500      2.273228392
5.000      2.405115197
