# dist_A   E_UMA_adslab_eV   Eads_corr_eV   Eads_corr_kcal_mol
    0.0000        -80.9260160951     -5.5598610951       -128.2103968521
    0.1000        -81.0170592919     -5.6509042919       -130.3098529705
    0.2000        -81.0692258863     -5.7030708863       -131.5128146373
    0.3000        -81.1014993845     -5.7353443845       -132.2570415074
    0.4000        -81.1145909303     -5.7484359303       -132.5589325524
    0.5000        -81.1019270286     -5.7357720286       -132.2669029796
    0.6000        -81.0511629775     -5.6850079775       -131.0962839617
    0.8000        -80.7925318469     -5.4263768469       -125.1322500897
    1.0000        -80.2929496233     -4.9267946233       -113.6118840141
    1.2000        -79.5775251487     -4.2113701487        -97.1141956296
    1.4000        -78.7160220878     -3.3498670878        -77.2479350449
    1.6000        -77.7864930827     -2.4203380827        -55.8129961865
    1.8000        -76.8471705798     -1.4810155798        -34.1522192711
    2.0000        -75.9437034939     -0.5775484939        -13.3182682702
    2.2000        -75.1256814863      0.2404735137          5.5453192266
    2.4000        -74.4305995764      0.9355554236         21.5739080673
    2.6000        -73.8704670878      1.4956879122         34.4905632558
    2.8000        -73.4351508686      1.9310041314         44.5289552695
    3.0000        -73.1017447321      2.2644102679         52.2173007769
    3.5000        -72.5976187658      2.7685362342         63.8424455609
    4.0000        -72.3700087169      2.9961462831         69.0911332873
    4.5000        -72.2827226981      3.0834323019         71.1039488825
    5.0000        -72.2295744986      3.1365805014         72.3295463633
    5.5000        -72.2007776208      3.1653773792         72.9936023646
    6.0000        -72.2242163072      3.1419386928         72.4531062554
