# dist_A   E_UMA_adslab_eV   Eads_kcal_mol
   0.200     -188.0016233654        9.6154796433
   0.400     -189.2032457944      -18.0939335694
   0.600     -190.4696562127      -47.2973578154
   0.800     -191.4597905586      -70.1298558313
   1.000     -191.9995235806      -82.5760993188
   1.200     -192.0889000093      -84.6371197650
   1.400     -191.8453475850      -79.0208008604
   1.600     -191.3573041470      -67.7665191786
   1.800     -190.7384050476      -53.4947059484
   2.000     -190.0724018797      -38.1366728963
   2.200     -189.4298985198      -23.3205454162
   2.400     -188.8648606799      -10.2907728292
   2.600     -188.3964836847        0.5100006814
   2.800     -188.0261266906        9.0504329655
   3.000     -187.7464907780       15.4988371103
   3.200     -187.5469733468       20.0997090743
   3.400     -187.4126886449       23.1963142987
   3.600     -187.3214545877       25.3001716573
   3.800     -187.2584562457       26.7529134236
   4.000     -187.2257249535       27.5076970236
   4.200     -187.2020226015       28.0542732596
   4.400     -187.1938817843       28.2420005053
   4.700     -187.2200833236       27.6377930093
   5.000     -187.2350014334       27.2937813963
   5.500     -187.2283755399       27.4465745009
   6.000     -187.3357802904       24.9698209541
