# d_A    Eads_kcal_mol
0.2      0.01437646429
0.4    -26.8915891
0.6    -54.61889241
0.8    -76.27582275
#0.9    -90.29975916
1.0    -88.09255104
1.2    -89.88224259
1.4    -83.6430225
1.6    -72.08156821
1.8    -57.83712812
2.0    -44.8436972
2.2    -34.36143058
2.4    -26.02212452
2.6    -19.55273709
2.8    -15.09763
3.0    -11.03122424
3.2     -8.49470856
3.4     -6.73272783
3.6     -5.522475396
3.8     -4.683131265
4.0     -4.089723788
4.2     -3.656811274
#4.4    -10.09904008
4.7     -2.95824262
5.0     -2.15034299
5.5     -2.363385596
6.0     -2.15034299
